uniprot_domain_id	uniprot_id	pfam_name	alignment_def	hmm_accession	hmm_name	hmm_type	hmm_clan_accession	hmm_clan_name
6785	Q9BYE9	Cadherin+Cadherin	485:576,590:686	PF00028.12,PF00028.12	Cadherin,Cadherin	Family,Family	CL0159,CL0159	E-set,E-set
6786	Q9BYE9	Cadherin	700:796	PF00028.12	Cadherin	Family	CL0159	E-set
6787	Q9BYE9	Cadherin	938:1039	PF00028.12	Cadherin	Family	CL0159	E-set
6788	P0CAP1	GCOM2	96:416	PF15328.1	GCOM2	Family	\N	\N
6789	Q8IZ52	CHGN	262:762	PF05679.11	CHGN	Family	CL0110	GT-A
6790	Q8NFU5	IPK	127:410	PF03770.11	IPK	Family	\N	\N
6791	P51864	CFC	115:150	PF09443.5	CFC	Domain	\N	\N
6792	P28827	MAM	27:183	PF00629.18	MAM	Domain	CL0202	GBD
6793	P28827	ig	199:261	PF00047.20	ig	Domain	CL0011	Ig
6794	P28827	fn3+fn3	287:361,498:574	PF00041.16,PF00041.16	fn3,fn3	Domain,Domain	CL0159,CL0159	E-set,E-set
6795	P28827	Y_phosphatase	923:1153	PF00102.22	Y_phosphatase	Domain	CL0031	Phosphatase
6796	P28827	Y_phosphatase	1213:1447	PF00102.22	Y_phosphatase	Domain	CL0031	Phosphatase
6797	Q9H772	DAN	48:161	PF03045.10	DAN	Domain	CL0079	Cystine-knot
6798	P01815	V-set	6:118	PF07686.12	V-set	Domain	CL0011	Ig
6799	Q8N413	Mito_carr	3:82	PF00153.22	Mito_carr	Family	\N	\N
6800	Q8N413	Mito_carr	97:191	PF00153.22	Mito_carr	Family	\N	\N
6801	Q8N413	Mito_carr	201:286	PF00153.22	Mito_carr	Family	\N	\N
6802	Q9NQ92	COPR5	33:184	PF15340.1	COPR5	Family	\N	\N
6803	P35228	\NO_synthase	132:502	PF02898.10	\NO_synthase	Domain	\N	\N
6804	P35228	Flavodoxin_1	541:672	PF00258.20	Flavodoxin_1	Domain	CL0042	Flavoprotein
6805	P35228	FAD_binding_1	726:947	PF00667.15	FAD_binding_1	Domain	CL0076	FAD_Lum_binding
6806	P35228	\NAD_binding_1	979:1092	PF00175.16	\NAD_binding_1	Domain	CL0091	\NAD_Ferredoxin
6807	Q86XX4	VWC	95:152	PF00093.13	VWC	Family	CL0451	FnI-like
6808	Q86XX4	VWC	159:216	PF00093.13	VWC	Family	CL0451	FnI-like
6809	Q86XX4	VWC	221:278	PF00093.13	VWC	Family	CL0451	FnI-like
6810	Q86XX4	VWC	285:342	PF00093.13	VWC	Family	CL0451	FnI-like
6811	Q86XX4	Calx-beta	2554:2646	PF03160.9	Calx-beta	Domain	\N	\N
6812	Q86XX4	Calx-beta	2660:2769	PF03160.9	Calx-beta	Domain	\N	\N
6813	Q86XX4	Calx-beta	2788:2889	PF03160.9	Calx-beta	Domain	\N	\N
6814	Q86XX4	Calx-beta	2905:3006	PF03160.9	Calx-beta	Domain	\N	\N
6815	Q86XX4	Calx-beta	3026:3128	PF03160.9	Calx-beta	Domain	\N	\N
6816	P05141	Mito_carr	6:99	PF00153.22	Mito_carr	Family	\N	\N
6817	P05141	Mito_carr	111:203	PF00153.22	Mito_carr	Family	\N	\N
6818	P05141	Mito_carr	209:297	PF00153.22	Mito_carr	Family	\N	\N
6819	Q8WY64	FERM_N	5:82	PF09379.5	FERM_N	Domain	CL0072	Ubiquitin
6820	Q8WY64	FERM_M	84:190	PF00373.13	FERM_M	Domain	\N	\N
6821	Q8WY64	zf-C3HC4_3	385:428	PF13920.1	zf-C3HC4_3	Domain	CL0229	RING
6822	Q8WTR2	DSPc	74:202	PF00782.15	DSPc	Domain	CL0031	Phosphatase
6823	Q9UHF0	\Neurokinin_B	1:55	PF03823.9	\Neurokinin_B	Family	\N	\N
6824	Q8NH49	7tm_4	138:278	PF13853.1	7tm_4	Family	CL0192	GPCR_A
6825	P40123	CAP_N	4:310	PF01213.14	CAP_N	Family	\N	\N
6826	P40123	CAP_C	322:475	PF08603.6	CAP_C	Family	CL0391	CAP_C-like
6827	O95831	AIF-MLS	11:112	PF14962.1	AIF-MLS	Family	\N	\N
6828	O95831	Pyr_redox_2	136:443	PF07992.9	Pyr_redox_2	Domain	CL0063	\NADP_Rossmann
6829	O95831	AIF_C	465:594	PF14721.1	AIF_C	Domain	\N	\N
6830	Q9UNK0	SNARE	150:211	PF05739.14	SNARE	Family	CL0445	SNARE-fusion
6831	Q96D05	DUF4605	62:121	PF15378.1	DUF4605	Family	\N	\N
6832	Q13478	TIR	377:518	PF01582.15	TIR	Family	CL0173	STIR
6833	Q12766	HMG_box_2	286:349	PF09011.5	HMG_box_2	Domain	CL0114	HMG-box
6834	Q9UM01	AA_permease_2	37:445	PF13520.1	AA_permease_2	Family	CL0062	APC
6835	P07766	ITAM	185:205	PF02189.10	ITAM	Motif	\N	\N
6836	Q460N3	Macro	85:199	PF01661.16	Macro	Domain	CL0223	MACRO
6837	Q460N3	Macro	300:394	PF01661.16	Macro	Domain	CL0223	MACRO
6838	Q460N3	PARP	474:654	PF00644.15	PARP	Family	CL0084	ADP-ribosyl
6839	P13995	THF_DHG_CYH	39:155	PF00763.18	THF_DHG_CYH	Family	\N	\N
6840	P13995	THF_DHG_CYH_C	158:330	PF02882.14	THF_DHG_CYH_C	Domain	CL0063	\NADP_Rossmann
6841	Q9UBF9	I-set	250:340	PF07679.11	I-set	Domain	CL0011	Ig
6842	Q9UBF9	I-set	349:440	PF07679.11	I-set	Domain	CL0011	Ig
6843	Q9H1X1	Radial_spoke	223:274	PF04712.7	Radial_spoke	Family	\N	\N
6844	Q8IZJ0	IL28A	37:197	PF15177.1	IL28A	Family	\N	\N
6845	Q9Y6H1	CHCH	114:146	PF06747.8	CHCH	Domain	CL0351	CHCH
6846	Q9BZD7	Gla	24:63	PF00594.15	Gla	Domain	\N	\N
6847	Q86X95	Cir_N	13:49	PF10197.4	Cir_N	Domain	\N	\N
6848	P07902	GalP_UDP_transf	23:196	PF01087.17	GalP_UDP_transf	Domain	CL0265	HIT
6849	P07902	GalP_UDP_tr_C	203:368	PF02744.12	GalP_UDP_tr_C	Domain	CL0265	HIT
6850	Q8IWG1	WD40	476:524	PF00400.27	WD40	Repeat	CL0186	Beta_propeller
6851	Q9NQX3	MoCF_biosynth	18:164	PF00994.19	MoCF_biosynth	Domain	\N	\N
6852	Q9NQX3	MoeA_N+MoCF_biosynth	324:489,502:645	PF03453.12,PF00994.19	MoeA_N,MoCF_biosynth	Family,Domain	\N	\N
6853	Q9NQX3	MoeA_C	658:732	PF03454.10	MoeA_C	Domain	\N	\N
6854	P14210	PAN_1	42:121	PF00024.21	PAN_1	Domain	CL0168	PAN
6855	P14210	Kringle+Kringle	128:206,211:288	PF00051.13,PF00051.13	Kringle,Kringle	Domain,Domain	\N	\N
6856	P14210	Kringle+Kringle	305:383,391:469	PF00051.13,PF00051.13	Kringle,Kringle	Domain,Domain	\N	\N
6857	P14210	Trypsin	501:716	PF00089.21	Trypsin	Domain	CL0124	Peptidase_PA
6858	Q9NUV9	AIG1	31:238	PF04548.11	AIG1	Family	CL0023	P-loop_NTPase
6859	Q6RFH8	Homeobox	20:74	PF00046.24	Homeobox	Domain	CL0123	HTH
6860	Q6RFH8	Homeobox	95:149	PF00046.24	Homeobox	Domain	CL0123	HTH
6861	Q9UPR0	EF-hand_like	343:425	PF09279.6	EF-hand_like	Domain	CL0220	EF_hand
6862	Q9UPR0	PI-PLC-X+PI-PLC-Y	428:571,617:734	PF00388.14,PF00387.14	PI-PLC-X,PI-PLC-Y	Family,Family	CL0384,CL0384	PLC,PLC
6863	Q9UPR0	C2	756:845	PF00168.25	C2	Domain	CL0154	C2
6864	Q8NFF2	\Na_Ca_ex	114:244	PF01699.19	\Na_Ca_ex	Family	\N	\N
6865	Q8NFF2	\Na_Ca_ex	462:601	PF01699.19	\Na_Ca_ex	Family	\N	\N
6866	B4DU55	KRAB	14:54	PF01352.22	KRAB	Family	\N	\N
6867	B4DU55	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	218:242,246:270,278:298	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6868	B4DU55	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	302:326,331:355,359:383	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6869	B4DU55	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	387:410,415:438,443:467	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6870	B4DU55	zf-H2C2_2+zf-H2C2_2	472:494,499:522	PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2	Domain,Domain	CL0361,CL0361	C2H2-zf,C2H2-zf
6871	B4DU55	zf-H2C2_2	526:550	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
6872	Q07687	DLL_N	51:132	PF12413.3	DLL_N	Family	\N	\N
6873	Q07687	Homeobox	153:209	PF00046.24	Homeobox	Domain	CL0123	HTH
6874	Q12901	KRAB	8:48	PF01352.22	KRAB	Family	\N	\N
6875	Q12901	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	193:214,218:242,246:270	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6876	Q12901	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	275:298,303:326,330:353	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6877	Q12901	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	359:381,387:411,415:439	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6878	Q12901	zf-H2C2_2	442:466	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
6879	P80192	SH3_9	59:112	PF14604.1	SH3_9	Domain	CL0010	SH3
6880	P80192	Pkinase_Tyr	144:403	PF07714.12	Pkinase_Tyr	Domain	CL0016	PKinase
6881	Q08AN1	KRAB	7:47	PF01352.22	KRAB	Family	\N	\N
6882	Q08AN1	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	200:223,256:279,283:307	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6883	Q08AN1	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	311:336,339:364,367:391	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6884	Q08AN1	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	396:419,424:447,452:475	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6885	Q08AN1	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	480:503,508:531,536:559	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6886	Q08AN1	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	564:587,592:615,620:643	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6887	Q08AN1	zf-C2H2+zf-H2C2_2	661:683,703:727	PF00096.21,PF13465.1	zf-C2H2,zf-H2C2_2	Domain,Domain	CL0361,CL0361	C2H2-zf,C2H2-zf
6888	Q08AN1	zf-H2C2_2	731:754	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
6889	A6NML5	CD20	9:165	PF04103.10	CD20	Family	CL0347	Tetraspannin
6890	P30461	MHC_I	25:203	PF00129.13	MHC_I	Domain	CL0343	MHC
6891	P30461	C1-set	219:294	PF07654.10	C1-set	Domain	CL0011	Ig
6892	P30461	MHC_I_C	337:362	PF06623.6	MHC_I_C	Family	\N	\N
6893	Q9UPS6	RRM_1	110:174	PF00076.17	RRM_1	Domain	CL0221	RRM
6894	Q9UPS6	\N-SET	1629:1774	PF11764.3	\N-SET	Domain	\N	\N
6895	Q9UPS6	SET	1796:1900	PF00856.23	SET	Family	\N	\N
6896	P05161	ubiquitin	8:75	PF00240.18	ubiquitin	Domain	CL0072	Ubiquitin
6897	P05161	ubiquitin	88:155	PF00240.18	ubiquitin	Domain	CL0072	Ubiquitin
6898	Q15846	Clusterin	32:466	PF01093.12	Clusterin	Family	\N	\N
6899	Q9NXE8	Cir_N	11:47	PF10197.4	Cir_N	Domain	\N	\N
6900	Q9NXE8	CWC25	64:157	PF12542.3	CWC25	Family	\N	\N
6901	Q92870	WW	292:320	PF00397.21	WW	Domain	\N	\N
6902	Q92870	PID	419:554	PF00640.18	PID	Domain	CL0266	PH
6903	Q92870	PID	590:711	PF00640.18	PID	Domain	CL0266	PH
6904	P10828	zf-C4	106:175	PF00105.13	zf-C4	Domain	\N	\N
6905	P10828	Hormone_recep	268:431	PF00104.25	Hormone_recep	Domain	\N	\N
6906	P53671	LIM+LIM	12:67,72:126	PF00412.17,PF00412.17	LIM,LIM	Domain,Domain	\N	\N
6907	P53671	PDZ	153:236	PF00595.19	PDZ	Domain	CL0466	PDZ-like
6908	P53671	Pkinase_Tyr	333:599	PF07714.12	Pkinase_Tyr	Domain	CL0016	PKinase
6909	P35237	Serpin	7:376	PF00079.15	Serpin	Domain	\N	\N
6910	O75128	Cobl	182:259	PF09469.5	Cobl	Domain	CL0072	Ubiquitin
6911	O75128	WH2	1147:1175	PF02205.15	WH2	Family	\N	\N
6912	P35610	MBOAT	171:520	PF03062.14	MBOAT	Family	CL0517	MBOAT-like
6913	Q9H3R2	SEA	211:321	PF01390.15	SEA	Family	\N	\N
6914	Q8N8L2	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	147:169,175:196,202:225	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6915	Q8N8L2	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	232:251,258:282,286:309	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6916	Q8N8L2	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	314:337,345:365,372:393	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
6917	Q8N8L2	zf-H2C2_2	399:420	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
6918	P40337	VHL	58:213	PF01847.11	VHL	Domain	\N	\N
6919	Q00537	Pkinase	193:473	PF00069.20	Pkinase	Domain	CL0016	PKinase
6920	Q9BSF0	DUF4565	1:95	PF15127.1	DUF4565	Family	\N	\N
6921	P58294	Prokineticin	1:97	PF06607.6	Prokineticin	Family	\N	\N
6922	Q14004	Pkinase	706:997	PF00069.20	Pkinase	Domain	CL0016	PKinase
6923	P37840	Synuclein	1:132	PF01387.12	Synuclein	Family	\N	\N
6924	Q9Y2C4	Endonuclease_NS	77:286	PF01223.18	Endonuclease_NS	Domain	CL0263	His-Me_finger
6925	P49716	bZIP_2	191:242	PF07716.10	bZIP_2	Family	CL0018	bZIP
6926	Q9UKV8	DUF1785	175:227	PF08699.5	DUF1785	Domain	\N	\N
6927	Q9UKV8	PAZ	235:370	PF02170.17	PAZ	Family	\N	\N
6928	Q9UKV8	Piwi	518:817	PF02171.12	Piwi	Family	CL0219	RNase_H
6929	Q8N554	zf-AD	78:155	PF07776.10	zf-AD	Domain	CL0361	C2H2-zf
6930	Q8N554	zf-C2H2	496:518	PF00096.21	zf-C2H2	Domain	CL0361	C2H2-zf
6931	A4D1S5	Ras	19:179	PF00071.17	Ras	Domain	CL0023	P-loop_NTPase
6932	Q6GYQ0	Rap_GAP	1825:2004	PF02145.10	Rap_GAP	Family	\N	\N
6933	P13569	ABC_membrane	84:350	PF00664.18	ABC_membrane	Family	CL0241	ABC_membrane
6934	P13569	ABC_tran+CFTR_R	441:575,639:850	PF00005.22,PF14396.1	ABC_tran,CFTR_R	Domain,Domain	CL0023,None	P-loop_NTPase,None
6935	P13569	ABC_membrane	862:1147	PF00664.18	ABC_membrane	Family	CL0241	ABC_membrane
6936	P13569	ABC_tran	1227:1374	PF00005.22	ABC_tran	Domain	CL0023	P-loop_NTPase
6937	Q96RQ3	CPSase_L_chain+CPSase_L_D2+Biotin_carb_C	49:157,163:369,383:489	PF00289.17,PF02786.12,PF02785.14	CPSase_L_chain,CPSase_L_D2,Biotin_carb_C	Domain,Domain,Domain	\N	\N
6938	Q96RQ3	Biotin_lipoyl	651:713	PF00364.17	Biotin_lipoyl	Domain	CL0105	Hybrid
6939	Q16829	Rhodanese	56:180	PF00581.15	Rhodanese	Domain	\N	\N
6940	Q16829	DSPc	252:383	PF00782.15	DSPc	Domain	CL0031	Phosphatase
6941	Q8TEU8	WAP	42:90	PF00095.16	WAP	Domain	CL0454	Protease_inhib
6942	Q8TEU8	Kazal_2	138:168	PF07648.10	Kazal_2	Domain	CL0005	Kazal
6943	Q8TEU8	I-set	213:304	PF07679.11	I-set	Domain	CL0011	Ig
6944	Q8TEU8	Kunitz_BPTI+Kunitz_BPTI	328:379,385:436	PF00014.18,PF00014.18	Kunitz_BPTI,Kunitz_BPTI	Domain,Domain	CL0454,CL0454	Protease_inhib,Protease_inhib
6945	Q8TEU8	\NTR	457:559	PF01759.16	\NTR	Family	CL0353	TIMP-like
6946	P40200	Ig_2	25:135	PF13895.1	Ig_2	Domain	CL0011	Ig
6947	Q14623	HH_signal	28:189	PF01085.13	HH_signal	Domain	CL0170	Peptidase_MD
6948	Q14623	Hint	192:396	PF01079.15	Hint	Family	CL0363	H-int
6949	Q6UXH9	CUB	128:233	PF00431.15	CUB	Domain	CL0164	CUB
6950	Q6UXH9	EGF	239:270	PF00008.22	EGF	Domain	CL0001	EGF
6951	Q6UXH9	Sushi	280:342,394:442	PF00084.15,PF00084.15	Sushi,Sushi	Domain,Domain	\N	\N
6952	Q6UXH9	Trypsin	457:715	PF00089.21	Trypsin	Domain	CL0124	Peptidase_PA
6953	Q96QF7	SprT-like	522:677	PF10263.4	SprT-like	Domain	CL0126	Peptidase_MA
6954	Q9Y279	V-set	26:135	PF07686.12	V-set	Domain	CL0011	Ig
6955	Q9Y279	Ig_3	142:213	PF13927.1	Ig_3	Domain	CL0011	Ig
6956	Q9UBS4	DnaJ	25:87	PF00226.26	DnaJ	Domain	CL0392	Chaperone-J
6957	Q9UBS4	CTDII	257:336	PF01556.13	CTDII	Domain	\N	\N
6958	Q5VUJ5	PH	261:418	PF00169.24	PH	Domain	CL0266	PH
6959	Q5VUJ5	ArfGap	443:554	PF01412.13	ArfGap	Domain	\N	\N
6960	Q5VUJ5	Ank_2	571:658	PF12796.2	Ank_2	Family	CL0465	Ank
6961	Q15024	RNase_PH	32:166	PF01138.16	RNase_PH	Domain	CL0329	S5
6962	Q15024	RNase_PH_C	197:261	PF03725.10	RNase_PH_C	Domain	\N	\N
6963	O95199	RCC1	117:167,170:220,224:272,275:323	PF00415.13,PF00415.13,PF00415.13,PF00415.13	RCC1,RCC1,RCC1,RCC1	Repeat,Repeat,Repeat,Repeat	CL0186,CL0186,CL0186,CL0186	Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller
6964	O95199	BTB	386:485	PF00651.26	BTB	Domain	CL0033	POZ
6965	Q15477	DEAD	315:460	PF00270.24	DEAD	Domain	CL0023	P-loop_NTPase
6966	Q15477	Helicase_C	636:708	PF00271.26	Helicase_C	Family	CL0023	P-loop_NTPase
6967	Q15477	rRNA_proc-arch	763:866	PF13234.1	rRNA_proc-arch	Domain	\N	\N
6968	Q15477	rRNA_proc-arch	961:1041	PF13234.1	rRNA_proc-arch	Domain	\N	\N
6969	Q15477	DSHCT	1069:1245	PF08148.7	DSHCT	Domain	\N	\N
6970	Q8IYU4	ubiquitin	43:102	PF00240.18	ubiquitin	Domain	CL0072	Ubiquitin
6971	Q9ULM3	YEATS	231:311	PF03366.11	YEATS	Family	\N	\N
6972	Q9UKR3	Trypsin	38:258	PF00089.21	Trypsin	Domain	CL0124	Peptidase_PA
6973	Q9GZR2	RNase_T	244:394	PF00929.19	RNase_T	Family	CL0219	RNase_H
6974	Q3SXZ7	TTL	92:368	PF03133.10	TTL	Family	CL0179	ATP-grasp
6975	Q96JG6	DUF2450	54:345	PF10475.4	DUF2450	Family	CL0295	Vps51
6976	Q96JG6	DUF2451	723:958	PF10474.4	DUF2451	Family	\N	\N
6977	O95395	Branch	133:401	PF02485.16	Branch	Family	\N	\N
6978	Q8N130	\Na_Pi_cotrans	85:211	PF02690.10	\Na_Pi_cotrans	Family	\N	\N
6979	Q8N130	\Na_Pi_cotrans	340:463	PF02690.10	\Na_Pi_cotrans	Family	\N	\N
6980	Q9Y6M5	Cation_efflux	11:423	PF01545.16	Cation_efflux	Family	CL0184	DMT
6981	Q96AQ9	FAM131	71:178	PF15010.1	FAM131	Family	\N	\N
6982	Q92569	SH2	65:140	PF00017.19	SH2	Domain	CL0541	SH2-like
6983	Q92569	SH2	358:432	PF00017.19	SH2	Domain	CL0541	SH2-like
6984	Q8NCQ5	F-box-like	77:117	PF12937.2	F-box-like	Domain	CL0271	F-box
6985	Q15834	DUF2216	4:193	PF10226.4	DUF2216	Family	\N	\N
6986	Q96N64	PWWP	655:737	PF00855.12	PWWP	Domain	CL0049	Tudor
6987	Q15056	RRM_1	45:112	PF00076.17	RRM_1	Domain	CL0221	RRM
6988	Q96LA8	Methyltransf_18	83:185	PF12847.2	Methyltransf_18	Domain	CL0063	\NADP_Rossmann
6989	Q6PK57	GED	29:101	PF02212.13	GED	Family	\N	\N
6990	Q8TC90	CCER1	4:219	PF15482.1	CCER1	Family	\N	\N
6991	Q8IZN3	zf-DHHC	109:287	PF01529.15	zf-DHHC	Family	CL0167	Zn_Beta_Ribbon
6992	O43427	FIBP	3:364	PF05427.6	FIBP	Family	\N	\N
6993	O43915	PDGF	111:191	PF00341.12	PDGF	Domain	CL0079	Cystine-knot
6994	Q13117	RRM_1	42:98	PF00076.17	RRM_1	Domain	CL0221	RRM
6995	O43825	Galactosyl_T	166:357	PF01762.16	Galactosyl_T	Family	CL0110	GT-A
6996	P63218	G-gamma	6:66	PF00631.17	G-gamma	Domain	\N	\N
6997	Q9BW85	DUF572	1:319	PF04502.8	DUF572	Family	\N	\N
6998	Q9UIR0	V-set	31:130	PF07686.12	V-set	Domain	CL0011	Ig
6999	Q9UIR0	C2-set_2	158:227	PF08205.7	C2-set_2	Domain	CL0011	Ig
7000	Q9UIR0	V-set	247:350	PF07686.12	V-set	Domain	CL0011	Ig
7001	Q9UIR0	C2-set_2	369:440	PF08205.7	C2-set_2	Domain	CL0011	Ig
7002	P17643	Tyrosinase	184:416	PF00264.15	Tyrosinase	Domain	CL0205	Di-copper
7003	Q7Z333	AAA_11	1934:2217	PF13086.1	AAA_11	Domain	CL0023	P-loop_NTPase
7004	Q7Z333	AAA_12	2225:2424	PF13087.1	AAA_12	Domain	CL0023	P-loop_NTPase
7005	Q5H9L4	TAFII55_N	98:276	PF04658.8	TAFII55_N	Family	\N	\N
7006	P09382	Gal-bind_lectin	9:133	PF00337.17	Gal-bind_lectin	Domain	CL0004	Concanavalin
7007	Q5EBM4	zf-H2C2_2	143:164	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
7008	P10620	MAPEG	17:149	PF01124.13	MAPEG	Family	\N	\N
7009	Q8N4N3	BTB+BACK	36:141,149:249	PF00651.26,PF07707.10	BTB,BACK	Domain,Domain	CL0033,CL0033	POZ,POZ
7010	Q8N4N3	Kelch_1	334:384,393:431,486:532,537:581	PF01344.20,PF01344.20,PF01344.20,PF01344.20	Kelch_1,Kelch_1,Kelch_1,Kelch_1	Repeat,Repeat,Repeat,Repeat	CL0186,CL0186,CL0186,CL0186	Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller
7011	Q9BXY5	EF-hand_7	450:508	PF13499.1	EF-hand_7	Domain	CL0220	EF_hand
7012	Q86WG3	BNIP2	57:187	PF12496.3	BNIP2	Family	\N	\N
7013	Q86WG3	CRAL_TRIO_2	189:326	PF13716.1	CRAL_TRIO_2	Domain	CL0512	CRAL_TRIO
7014	Q86UN6	AKAP28	66:188	PF14469.1	AKAP28	Family	\N	\N
7015	O76013	Filament	92:403	PF00038.16	Filament	Family	\N	\N
7016	Q16222	UDPGP	44:472	PF01704.13	UDPGP	Family	CL0110	GT-A
7017	O95800	7tm_1	60:376	PF00001.16	7tm_1	Family	CL0192	GPCR_A
7018	Q9P1U0	TFIIS_C	86:121	PF01096.13	TFIIS_C	Domain	CL0167	Zn_Beta_Ribbon
7019	Q6PHW0	\Nitroreductase	98:267	PF00881.19	\Nitroreductase	Domain	CL0529	FMN-dep-NRtase
7020	P16520	WD40	49:83,135:170,174:212,216:254,304:340	PF00400.27,PF00400.27,PF00400.27,PF00400.27,PF00400.27	WD40,WD40,WD40,WD40,WD40	Repeat,Repeat,Repeat,Repeat,Repeat	CL0186,CL0186,CL0186,CL0186,CL0186	Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller
7021	Q96LU7	\NDT80_PhoG	258:403	PF05224.7	\NDT80_PhoG	Family	CL0073	P53-like
7022	Q96LU7	Peptidase_S74	451:509	PF13884.1	Peptidase_S74	Domain	\N	\N
7023	Q96LU7	MRF_C1	530:565	PF13887.1	MRF_C1	Domain	\N	\N
7024	Q96LU7	MRF_C2	767:909	PF13888.1	MRF_C2	Domain	\N	\N
7025	A3KFT3	7tm_4	140:283	PF13853.1	7tm_4	Family	CL0192	GPCR_A
7026	Q96JK2	WD40	46:82,140:171,328:361	PF00400.27,PF00400.27,PF00400.27	WD40,WD40,WD40	Repeat,Repeat,Repeat	CL0186,CL0186,CL0186	Beta_propeller,Beta_propeller,Beta_propeller
7027	Q8NB66	C1_1	1098:1147	PF00130.17	C1_1	Domain	CL0006	C1
7028	Q8NB66	C2	1223:1312	PF00168.25	C2	Domain	CL0154	C2
7029	Q8NB66	DUF1041	1540:1646	PF06292.12	DUF1041	Domain	\N	\N
7030	Q8NB66	Membr_traf_MHD	1887:2028	PF10540.4	Membr_traf_MHD	Domain	\N	\N
7031	Q8NB66	C2	2064:2151	PF00168.25	C2	Domain	CL0154	C2
7032	O95861	Inositol_P	13:296	PF00459.20	Inositol_P	Family	CL0171	Phospoesterase
